rank,id,signal_minutes,sample_ok,selection_score,fit_trades,fit_payoff,validation_trades,validation_payoff,entry,exit,stress_used_for_rank
1,f634ff0af0eb,1,True,2.9636389240231997,62,43.22328729639041,103,10.231909349021459,"{""breakout_buffer"": 0.0, ""cap_daily_atr"": 0.125, ""confirmation_minutes"": 15, ""daily_atr_days"": 20, ""donchian_minutes"": 15, ""entry_deadline"": 720, ""gates"": [""rvol"", ""rsi""], ""indicator_overrides"": {}, ""opening_minutes"": 15, ""profile"": 0, ""quorum"": 2, ""retest_depth"": 0.02, ""retest_timeout"": 30, ""signal_minutes"": 1, ""trigger"": ""orb"", ""vwap_mode"": ""side"", ""warmup_minutes"": 15}","{""expand_at"": 0.4, ""expanded"": 0.0, ""fail"": 5, ""flatten"": 945, ""hold"": 390, ""late_start"": 900, ""late_trail"": 0.0, ""progress"": 0.2, ""safety"": 0.8, ""soft"": 0.0125, ""soft_escape"": 0.1, ""soft_grace"": 0, ""stall"": 0, ""stall_gain"": 0.1, ""structure_activation"": 0.0, ""structure_buffer"": 0.03125, ""structure_minutes"": 0, ""style"": ""none"", ""trail"": 0.5}",False
2,fbd2c8608194,1,True,2.9232458674237636,52,40.02606016449781,89,8.71467755565254,"{""breakout_buffer"": 0.0, ""cap_daily_atr"": 0.125, ""confirmation_minutes"": 15, ""daily_atr_days"": 20, ""donchian_minutes"": 15, ""entry_deadline"": 720, ""gates"": [""rvol"", ""rsi""], ""indicator_overrides"": {}, ""opening_minutes"": 15, ""profile"": 0, ""quorum"": 2, ""retest_depth"": 0.02, ""retest_timeout"": 60, ""signal_minutes"": 1, ""trigger"": ""retest"", ""vwap_mode"": ""side"", ""warmup_minutes"": 15}","{""expand_at"": 0.4, ""expanded"": 0.0, ""fail"": 5, ""flatten"": 945, ""hold"": 390, ""late_start"": 900, ""late_trail"": 0.0, ""progress"": 0.2, ""safety"": 0.8, ""soft"": 0.1, ""soft_escape"": 0.25, ""soft_grace"": 5, ""stall"": 0, ""stall_gain"": 0.1, ""structure_activation"": 0.0, ""structure_buffer"": 0.03125, ""structure_minutes"": 0, ""style"": ""none"", ""trail"": 0.5}",False
3,b190a2f3986e,1,True,2.9232458674237636,52,40.02606016449781,89,8.71467755565254,"{""breakout_buffer"": 0.0, ""cap_daily_atr"": 0.125, ""confirmation_minutes"": 15, ""daily_atr_days"": 20, ""donchian_minutes"": 15, ""entry_deadline"": 720, ""gates"": [""rvol"", ""rsi""], ""indicator_overrides"": {}, ""opening_minutes"": 15, ""profile"": 0, ""quorum"": 2, ""retest_depth"": 0.02, ""retest_timeout"": 60, ""signal_minutes"": 1, ""trigger"": ""retest"", ""vwap_mode"": ""side"", ""warmup_minutes"": 15}","{""expand_at"": 0.4, ""expanded"": 0.0, ""fail"": 5, ""flatten"": 945, ""hold"": 390, ""late_start"": 900, ""late_trail"": 0.0, ""progress"": 0.2, ""safety"": 0.8, ""soft"": 0.1, ""soft_escape"": 0.25, ""soft_grace"": 15, ""stall"": 0, ""stall_gain"": 0.1, ""structure_activation"": 0.0, ""structure_buffer"": 0.03125, ""structure_minutes"": 0, ""style"": ""none"", ""trail"": 0.5}",False
4,d42ae8f4ed8c,1,True,2.8791973649556106,49,39.78020252021664,83,8.344334046339394,"{""breakout_buffer"": 0.0, ""cap_daily_atr"": 0.125, ""confirmation_minutes"": 15, ""daily_atr_days"": 20, ""donchian_minutes"": 15, ""entry_deadline"": 720, ""gates"": [""rvol"", ""rsi""], ""indicator_overrides"": {}, ""opening_minutes"": 15, ""profile"": 0, ""quorum"": 2, ""retest_depth"": 0.02, ""retest_timeout"": 30, ""signal_minutes"": 1, ""trigger"": ""retest"", ""vwap_mode"": ""side"", ""warmup_minutes"": 15}","{""expand_at"": 0.4, ""expanded"": 0.0, ""fail"": 5, ""flatten"": 945, ""hold"": 390, ""late_start"": 900, ""late_trail"": 0.0, ""progress"": 0.2, ""safety"": 0.8, ""soft"": 0.1, ""soft_escape"": 0.25, ""soft_grace"": 30, ""stall"": 0, ""stall_gain"": 0.1, ""structure_activation"": 0.0, ""structure_buffer"": 0.03125, ""structure_minutes"": 0, ""style"": ""none"", ""trail"": 0.5}",False
5,efa32cfe93fa,1,True,2.8791824881834027,49,39.75059222750485,83,8.344334046339394,"{""breakout_buffer"": 0.0, ""cap_daily_atr"": 0.125, ""confirmation_minutes"": 15, ""daily_atr_days"": 20, ""donchian_minutes"": 30, ""entry_deadline"": 720, ""gates"": [""rvol"", ""rsi""], ""indicator_overrides"": {}, ""opening_minutes"": 15, ""profile"": 0, ""quorum"": 2, ""retest_depth"": 0.02, ""retest_timeout"": 30, ""signal_minutes"": 1, ""trigger"": ""retest"", ""vwap_mode"": ""side"", ""warmup_minutes"": 15}","{""expand_at"": 0.4, ""expanded"": 0.0, ""fail"": 5, ""flatten"": 945, ""hold"": 390, ""late_start"": 900, ""late_trail"": 0.0, ""progress"": 0.2, ""safety"": 0.8, ""soft"": 0.1, ""soft_escape"": 0.25, ""soft_grace"": 5, ""stall"": 0, ""stall_gain"": 0.1, ""structure_activation"": 0.0, ""structure_buffer"": 0.03125, ""structure_minutes"": 0, ""style"": ""none"", ""trail"": 0.5}",False
6,eec1cc042e6a,1,True,2.8791824881834027,49,39.75059222750485,83,8.344334046339394,"{""breakout_buffer"": 0.0, ""cap_daily_atr"": 0.125, ""confirmation_minutes"": 15, ""daily_atr_days"": 20, ""donchian_minutes"": 15, ""entry_deadline"": 720, ""gates"": [""rvol"", ""rsi""], ""indicator_overrides"": {}, ""opening_minutes"": 15, ""profile"": 0, ""quorum"": 2, ""retest_depth"": 0.02, ""retest_timeout"": 30, ""signal_minutes"": 1, ""trigger"": ""retest"", ""vwap_mode"": ""side"", ""warmup_minutes"": 15}","{""expand_at"": 0.4, ""expanded"": 0.0, ""fail"": 5, ""flatten"": 945, ""hold"": 390, ""late_start"": 900, ""late_trail"": 0.0, ""progress"": 0.2, ""safety"": 0.8, ""soft"": 0.1, ""soft_escape"": 0.25, ""soft_grace"": 15, ""stall"": 0, ""stall_gain"": 0.1, ""structure_activation"": 0.0, ""structure_buffer"": 0.125, ""structure_minutes"": 0, ""style"": ""none"", ""trail"": 0.5}",False
7,ea02066f7851,1,True,2.8791824881834027,49,39.75059222750485,83,8.344334046339394,"{""breakout_buffer"": 0.0, ""cap_daily_atr"": 0.125, ""confirmation_minutes"": 15, ""daily_atr_days"": 20, ""donchian_minutes"": 15, ""entry_deadline"": 720, ""gates"": [""rvol"", ""rsi""], ""indicator_overrides"": {""rsi_minutes"": 15}, ""opening_minutes"": 15, ""profile"": 0, ""quorum"": 2, ""retest_depth"": 0.02, ""retest_timeout"": 30, ""signal_minutes"": 1, ""trigger"": ""retest"", ""vwap_mode"": ""side"", ""warmup_minutes"": 15}","{""expand_at"": 0.4, ""expanded"": 0.0, ""fail"": 5, ""flatten"": 945, ""hold"": 390, ""late_start"": 900, ""late_trail"": 0.0, ""progress"": 0.2, ""safety"": 0.8, ""soft"": 0.1, ""soft_escape"": 0.25, ""soft_grace"": 15, ""stall"": 0, ""stall_gain"": 0.1, ""structure_activation"": 0.0, ""structure_buffer"": 0.03125, ""structure_minutes"": 0, ""style"": ""none"", ""trail"": 0.5}",False
8,e94661e5137f,1,True,2.8791824881834027,49,39.75059222750485,83,8.344334046339394,"{""breakout_buffer"": 0.0, ""cap_daily_atr"": 0.125, ""confirmation_minutes"": 15, ""daily_atr_days"": 20, ""donchian_minutes"": 15, ""entry_deadline"": 720, ""gates"": [""rvol"", ""rsi""], ""indicator_overrides"": {""rvol_days"": 10}, ""opening_minutes"": 15, ""profile"": 0, ""quorum"": 2, ""retest_depth"": 0.02, ""retest_timeout"": 30, ""signal_minutes"": 1, ""trigger"": ""retest"", ""vwap_mode"": ""side"", ""warmup_minutes"": 15}","{""expand_at"": 0.4, ""expanded"": 0.0, ""fail"": 5, ""flatten"": 945, ""hold"": 390, ""late_start"": 900, ""late_trail"": 0.0, ""progress"": 0.2, ""safety"": 0.8, ""soft"": 0.1, ""soft_escape"": 0.25, ""soft_grace"": 5, ""stall"": 0, ""stall_gain"": 0.1, ""structure_activation"": 0.0, ""structure_buffer"": 0.03125, ""structure_minutes"": 0, ""style"": ""none"", ""trail"": 0.5}",False
9,e342e1dae7e5,1,True,2.8791824881834027,49,39.75059222750485,83,8.344334046339394,"{""breakout_buffer"": 0.0, ""cap_daily_atr"": 0.125, ""confirmation_minutes"": 15, ""daily_atr_days"": 20, ""donchian_minutes"": 15, ""entry_deadline"": 720, ""gates"": [""rvol"", ""rsi""], ""indicator_overrides"": {""rvol_days"": 10}, ""opening_minutes"": 15, ""profile"": 0, ""quorum"": 2, ""retest_depth"": 0.02, ""retest_timeout"": 30, ""signal_minutes"": 1, ""trigger"": ""retest"", ""vwap_mode"": ""side"", ""warmup_minutes"": 15}","{""expand_at"": 0.4, ""expanded"": 0.0, ""fail"": 5, ""flatten"": 945, ""hold"": 390, ""late_start"": 900, ""late_trail"": 0.0, ""progress"": 0.2, ""safety"": 0.8, ""soft"": 0.1, ""soft_escape"": 0.25, ""soft_grace"": 15, ""stall"": 0, ""stall_gain"": 0.1, ""structure_activation"": 0.0, ""structure_buffer"": 0.03125, ""structure_minutes"": 0, ""style"": ""none"", ""trail"": 0.5}",False
10,d4e025654145,1,True,2.8791824881834027,49,39.75059222750485,83,8.344334046339394,"{""breakout_buffer"": 0.0, ""cap_daily_atr"": 0.125, ""confirmation_minutes"": 15, ""daily_atr_days"": 20, ""donchian_minutes"": 15, ""entry_deadline"": 720, ""entry_start_override"": 0, ""gates"": [""rvol"", ""rsi""], ""indicator_overrides"": {}, ""opening_minutes"": 15, ""profile"": 0, ""quorum"": 2, ""retest_depth"": 0.02, ""retest_timeout"": 30, ""signal_minutes"": 1, ""trigger"": ""retest"", ""vwap_mode"": ""side"", ""warmup_minutes"": 15}","{""expand_at"": 0.4, ""expanded"": 0.0, ""fail"": 5, ""flatten"": 945, ""hold"": 390, ""late_start"": 900, ""late_trail"": 0.0, ""progress"": 0.2, ""safety"": 0.8, ""soft"": 0.1, ""soft_escape"": 0.25, ""soft_grace"": 15, ""stall"": 0, ""stall_gain"": 0.1, ""structure_activation"": 0.0, ""structure_buffer"": 0.03125, ""structure_minutes"": 0, ""style"": ""none"", ""trail"": 0.5}",False
