date,symbol,direction,entry_signal_close_minute,votes,required_votes,rvol,rsi,rvol_decisive_at_entry,rsi_decisive_at_entry
2026-05-21,US.META,SHORT,595,2,2,True,True,True,True
2026-05-21,US.MU,LONG,631,2,2,True,True,True,True
2026-05-21,US.QQQ,LONG,707,2,2,True,True,True,True
2026-05-21,US.SPY,LONG,660,2,2,True,True,True,True
2026-05-22,US.AAPL,LONG,632,2,2,True,True,True,True
2026-05-22,US.IWM,LONG,602,2,2,True,True,True,True
2026-05-22,US.NVDA,SHORT,706,2,2,True,True,True,True
2026-05-22,US.TSLA,LONG,716,2,2,True,True,True,True
2026-05-26,US.AAPL,LONG,668,2,2,True,True,True,True
2026-05-26,US.AMD,LONG,675,2,2,True,True,True,True
2026-05-26,US.IWM,LONG,601,2,2,True,True,True,True
2026-05-26,US.META,SHORT,720,2,2,True,True,True,True
2026-05-27,US.AAPL,LONG,632,2,2,True,True,True,True
2026-05-27,US.META,LONG,671,2,2,True,True,True,True
2026-05-28,US.AAPL,LONG,685,2,2,True,True,True,True
2026-05-28,US.SPY,LONG,601,2,2,True,True,True,True
2026-05-29,US.IWM,SHORT,610,2,2,True,True,True,True
2026-05-29,US.MU,LONG,605,2,2,True,True,True,True
2026-05-29,US.NVDA,LONG,672,2,2,True,True,True,True
2026-05-29,US.QQQ,LONG,606,2,2,True,True,True,True
2026-05-29,US.SPY,LONG,596,2,2,True,True,True,True
2026-06-01,US.IWM,SHORT,605,2,2,True,True,True,True
2026-06-01,US.TSLA,SHORT,710,2,2,True,True,True,True
2026-06-02,US.SPY,LONG,612,2,2,True,True,True,True
2026-06-03,US.IWM,SHORT,602,2,2,True,True,True,True
2026-06-03,US.QQQ,SHORT,686,2,2,True,True,True,True
2026-06-03,US.SPY,SHORT,594,2,2,True,True,True,True
2026-06-04,US.AMD,SHORT,612,2,2,True,True,True,True
2026-06-05,US.AAPL,LONG,589,2,2,True,True,True,True
2026-06-05,US.AMD,SHORT,594,2,2,True,True,True,True
2026-06-05,US.IWM,SHORT,609,2,2,True,True,True,True
2026-06-05,US.MU,SHORT,678,2,2,True,True,True,True
2026-06-05,US.QQQ,SHORT,610,2,2,True,True,True,True
2026-06-05,US.SPY,SHORT,595,2,2,True,True,True,True
2026-06-08,US.MSFT,SHORT,699,2,2,True,True,True,True
