date,symbol,direction,traded,entry_index,exit_index,entry_signal_close_minute,entry_minute,exit_signal_close_minute,exit_minute,exit_time_exact,entry_price,exit_price,pnl_points,gross_return,exit_reason,eod_flatten,unclosed,signal_minutes,execution_minutes,rule_id,net_return_pct
2026-07-29,US.AMD,SHORT,True,42,310,612,612,880,880,True,441.62,444.22,-2.6000000000000227,-0.00588741451927,trailing,False,False,1,1,f634ff0af0eb,-0.6087414519269999
2026-07-21,US.AMD,LONG,True,22,25,592,592,595,595,True,533.285,530.6,-2.684999999999945,-0.0050348312815847,soft_failure_loss,False,False,1,1,f634ff0af0eb,-0.52348312815847
2026-07-07,US.MU,SHORT,True,26,27,596,596,597,597,True,910.335,914.615,-4.279999999999973,-0.0047015659070561,soft_failure_loss,False,False,1,1,f634ff0af0eb,-0.49015659070560996
2026-06-23,US.TSLA,SHORT,True,27,28,597,597,598,598,True,387.61,389.3,-1.6899999999999975,-0.004360052630221,soft_failure_loss,False,False,1,1,f634ff0af0eb,-0.4560052630221
2026-07-07,US.META,LONG,True,50,51,620,620,621,621,True,613.76,611.18,-2.580000000000041,-0.0042035974973931,soft_failure_loss,False,False,1,1,f634ff0af0eb,-0.4403597497393099
2026-07-06,US.MU,LONG,True,49,51,619,619,621,621,True,1013.19,1009.26,-3.930000000000064,-0.0038788381251296,soft_failure_loss,False,False,1,1,f634ff0af0eb,-0.40788381251295996
2026-07-15,US.MU,SHORT,True,22,23,592,592,593,593,True,949.25,952.715,-3.465000000000032,-0.0036502501975243,soft_failure_loss,False,False,1,1,f634ff0af0eb,-0.38502501975243003
2026-07-28,US.MU,SHORT,True,31,35,601,601,605,605,True,812.64,815.54,-2.8999999999999773,-0.0035686158692655,soft_failure_loss,False,False,1,1,f634ff0af0eb,-0.37686158692655003
2026-07-09,US.AMD,LONG,True,41,46,611,611,616,616,True,553.58,551.695,-1.884999999999991,-0.0034051085660608,soft_failure_loss,False,False,1,1,f634ff0af0eb,-0.36051085660608
2026-07-17,US.MU,LONG,True,121,122,691,691,692,692,True,858.42,855.61,-2.809999999999945,-0.003273455884066,soft_failure_loss,False,False,1,1,f634ff0af0eb,-0.3473455884066
2026-07-16,US.MU,SHORT,True,16,30,586,586,600,600,True,863.81,866.59,-2.7800000000000864,-0.0032183003206724,soft_failure_loss,False,False,1,1,f634ff0af0eb,-0.34183003206724
2026-07-24,US.IWM,SHORT,True,24,105,594,594,675,675,True,291.87,292.71,-0.839999999999975,-0.0028779936272997,trailing,False,False,1,1,f634ff0af0eb,-0.30779936272997005
2026-07-16,US.AMD,SHORT,True,113,115,683,683,685,685,True,506.79,508.22,-1.4300000000000068,-0.002821681564356,soft_failure_loss,False,False,1,1,f634ff0af0eb,-0.30216815643559997
2026-07-02,US.MSFT,LONG,True,115,116,685,685,686,686,True,388.568520093,387.490549372,-1.0779707210000424,-0.0027742101206295,soft_failure_loss,False,False,1,1,f634ff0af0eb,-0.29742101206295
2026-08-20,US.AMD,SHORT,True,96,104,666,666,674,674,True,464.825,466.06,-1.2350000000000136,-0.002656913892325,soft_failure_loss,False,False,1,1,f634ff0af0eb,-0.2856913892325
2026-07-28,US.TSLA,SHORT,True,39,41,609,609,611,611,True,302.1999,303.0005,-0.8005999999999744,-0.0026492397912771,soft_failure_loss,False,False,1,1,f634ff0af0eb,-0.28492397912771
2026-07-09,US.MU,LONG,True,23,43,593,593,613,613,True,1024.685,1022.0301,-2.654899999999998,-0.0025909425823545,failed_followthrough,False,False,1,1,f634ff0af0eb,-0.27909425823545
2026-08-04,US.AMD,LONG,True,84,86,654,654,656,656,True,517.385,516.05,-1.3350000000000364,-0.0025802835412701,soft_failure_loss,False,False,1,1,f634ff0af0eb,-0.27802835412701
2026-05-29,US.MU,LONG,True,35,41,605,605,611,611,True,970.730719432,968.24110229,-2.489617142000043,-0.0025646835854301,failed_followthrough,False,False,1,1,f634ff0af0eb,-0.27646835854301
2026-07-28,US.NVDA,SHORT,True,26,27,596,596,597,597,True,193.278726962,193.753196045,-0.4744690830000024,-0.0024548437919569,soft_failure_loss,False,False,1,1,f634ff0af0eb,-0.26548437919569
