trading_date,owner,owner_name,n_contracts,turnover,volume,lead_code,min_dte,max_dte,rank
2026-08-10,HK.09988,阿里巴巴-W,7,2392670.0,1332,HK.ALB260821C125000,11.0,11.0,1.0
2026-08-10,HK.09992,泡泡玛特,2,1912212.0,1117,HK.POP260821C150000,11.0,11.0,2.0
2026-08-10,HK.00700,腾讯控股,3,650651.0,391,HK.TCH260821C480000,11.0,11.0,3.0
2026-08-11,HK.09988,阿里巴巴-W,7,2946280.0,1291,HK.ALB260821C130000,10.0,10.0,1.0
2026-08-11,HK.03308,ZJ INNOLIGHT,1,911302.5,257,HK.ZJI260821C1055000,10.0,10.0,2.0
2026-08-11,HK.02628,中国人寿,1,487350.0,780,HK.CLI260821C27500,10.0,10.0,3.0
2026-08-11,HK.00700,腾讯控股,1,478770.0,406,HK.TCH260821C480000,10.0,10.0,4.0
2026-08-11,HK.03690,美团-W,1,226725.0,880,HK.MET260821C105000,10.0,10.0,5.0
2026-08-11,HK.00100,MiniMax,1,226104.8,413,HK.MNX260821C350000,10.0,10.0,6.0
2026-08-11,AIA,,1,213840.0,199,HK.AIA260821C75000,10.0,10.0,7.0
2026-08-11,HK.00883,CNOOC,1,211650.0,481,HK.CNC260821C24500,10.0,10.0,8.0
2026-08-12,HK.03690,美团-W,3,1074945.0,926,HK.MET260821C90000,9.0,9.0,1.0
2026-08-12,HK.09988,阿里巴巴-W,3,967765.0,643,HK.ALB260821C129000,9.0,9.0,2.0
2026-08-12,HK.00700,腾讯控股,2,865952.0,1081,HK.TCH260821C460000,9.0,9.0,3.0
2026-08-12,HK.03308,ZJ INNOLIGHT,2,861705.5,190,HK.ZJI260821C1055000,9.0,9.0,4.0
2026-08-12,HK.00883,CNOOC,1,243260.0,537,HK.CNC260821C24000,9.0,9.0,5.0
2026-08-13,HK.09992,泡泡玛特,4,2640186.0,2552,HK.POP260821C155000,8.0,8.0,1.0
2026-08-13,HK.00700,腾讯控股,4,1769568.0,4507,HK.TCH260821C460000,8.0,8.0,2.0
2026-08-13,HK.09988,阿里巴巴-W,5,1726520.0,985,HK.ALB260821C123000,8.0,8.0,3.0
2026-08-13,JDC,,1,730000.0,400,HK.JDC260821C123000,8.0,8.0,4.0
2026-08-13,HK.03308,ZJ INNOLIGHT,1,724750.0,100,HK.ZJI260821C1055000,8.0,8.0,5.0
2026-08-13,HK.00981,SMIC,2,688875.0,106,HK.SMC260821C70000,8.0,8.0,6.0
2026-08-13,HK.01810,小米集团-W,1,294900.0,337,HK.MIU260821C26000,8.0,8.0,7.0
2026-08-13,HK.01211,BYD COMPANY,1,281405.0,481,HK.BYD260821C90000,8.0,8.0,8.0
2026-08-14,HK.00992,联想集团,12,10456480.0,2479,HK.LEN260828C30000,14.0,14.0,1.0
2026-08-14,HK.01347,HUA HONG GRACE,11,9989600.0,767,HK.HOS260828C127500,14.0,14.0,2.0
2026-08-14,HK.09988,阿里巴巴-W,11,8657800.0,9467,HK.ALB260821C120000,7.0,14.0,3.0
2026-08-14,HK.00700,腾讯控股,12,7669624.0,15818,HK.TCH260828C450000,7.0,14.0,4.0
2026-08-14,HK.00981,SMIC,11,6195525.0,1705,HK.SMC260828C72500,7.0,14.0,5.0
2026-08-14,HK.01810,小米集团-W,4,5965380.0,2663,HK.MIU260828C15000,7.0,14.0,6.0
2026-08-14,JDC,,8,5479470.0,4776,HK.JDC260828C110000,7.0,14.0,7.0
2026-08-14,HK.03690,美团-W,5,2840725.0,2660,HK.MET260821C86000,7.0,14.0,8.0
2026-08-14,HES,,2,772440.0,1082,HK.HES260828C21000,14.0,14.0,9.0
2026-08-14,HK.00941,CHINA MOBILE,2,561705.0,1794,HK.CHT260828C82500,7.0,14.0,10.0
2026-08-14,HK.02899,ZIJIN MINING,1,521940.0,229,HK.ZJM260828C35000,14.0,14.0,11.0
2026-08-14,HK.09961,TRIP.COM-S,1,393106.5,177,HK.TRP260828C340000,14.0,14.0,12.0
2026-08-14,HK.02382,SUNNY OPTICAL,1,347040.0,173,HK.SNO260828C60000,14.0,14.0,13.0
2026-08-14,HK.00175,GEELY AUTO,1,337300.0,123,HK.GAH260828C18000,14.0,14.0,14.0
2026-08-14,HK.03750,宁德时代,1,330316.0,224,HK.CAT260828C650000,14.0,14.0,15.0
2026-08-14,AIA,,1,328420.0,804,HK.AIA260828C75000,14.0,14.0,16.0
2026-08-14,HK.09926,AKESO,1,287630.0,239,HK.AKS260828C110000,14.0,14.0,17.0
2026-08-14,HK.09992,泡泡玛特,1,259038.0,153,HK.POP260821C149000,7.0,7.0,18.0
2026-08-14,CKH,,1,246120.0,543,HK.CKH260828C70000,14.0,14.0,19.0
2026-08-14,HK.00005,HSBC HOLDINGS,1,244296.0,48,HK.HKB260828C150000,14.0,14.0,20.0
2026-08-14,MTR,,1,241675.0,220,HK.MTR260828C31000,14.0,14.0,21.0
2026-08-17,HK.09988,阿里巴巴-W,20,12635390.0,9648,HK.ALB260828C100000,4.0,11.0,1.0
2026-08-17,HK.00981,SMIC,17,10795500.0,1840,HK.SMC260828C67500,4.0,11.0,2.0
