rule,horizon,n,wr,mean,med,max_up_wr,max_up_mean
aggressive(全量),T+1,208,0.433,-0.51,-0.45,0.433,-0.51
aggressive(全量),T+2,198,0.394,-1.31,-0.77,0.538,0.47
aggressive(全量),T+3,185,0.378,-2.04,-1.22,0.582,0.98
当日翻红 day_chg>=0,T+1,99,0.394,-0.47,-0.78,0.394,-0.47
当日翻红 day_chg>=0,T+2,95,0.389,-0.61,-0.68,0.515,0.95
当日翻红 day_chg>=0,T+3,87,0.368,-1.52,-1.58,0.566,1.35
当日翻红且DTE<=7,T+1,64,0.375,-0.86,-0.91,0.375,-0.86
当日翻红且DTE<=7,T+2,63,0.333,-0.95,-1.0,0.453,0.35
当日翻红且DTE<=7,T+3,60,0.35,-1.65,-1.57,0.5,0.74
更严: turnover>=50万 & owner>=200万 & DTE<=7,T+1,70,0.457,-1.06,-0.29,0.457,-1.06
更严: turnover>=50万 & owner>=200万 & DTE<=7,T+2,70,0.371,-1.15,-1.05,0.514,0.21
更严: turnover>=50万 & owner>=200万 & DTE<=7,T+3,68,0.382,-1.85,-1.11,0.586,1.0
更严+翻红,T+1,35,0.486,-0.62,-0.31,0.486,-0.62
更严+翻红,T+2,35,0.343,-0.28,-1.1,0.514,0.81
更严+翻红,T+3,33,0.364,-1.37,-1.24,0.543,1.17
DTE<=5 & owner>=150万,T+1,67,0.478,-0.47,-0.22,0.478,-0.47
DTE<=5 & owner>=150万,T+2,66,0.409,-0.37,-0.43,0.552,0.81
DTE<=5 & owner>=150万,T+3,64,0.391,-1.52,-0.91,0.642,1.58
DTE<=5 & owner>=150万 & 翻红,T+1,33,0.545,0.35,0.21,0.545,0.35
DTE<=5 & owner>=150万 & 翻红,T+2,32,0.438,1.02,-0.22,0.606,1.91
DTE<=5 & owner>=150万 & 翻红,T+3,30,0.4,-0.61,-0.86,0.667,2.23
仅MiniMax,T+1,13,0.231,-2.49,-4.51,0.231,-2.49
仅MiniMax,T+2,12,0.25,-3.8,-8.45,0.308,1.04
仅MiniMax,T+3,11,0.364,-6.65,-11.85,0.462,3.4
非MiniMax,T+1,195,0.446,-0.37,-0.31,0.446,-0.37
非MiniMax,T+2,186,0.403,-1.15,-0.69,0.554,0.44
非MiniMax,T+3,174,0.379,-1.75,-1.18,0.59,0.82
