time,open,high,low,close,volume,turnover
1718962200,540.00,540.06,539.85,539.95,13261,7160475.86
1718963100,539.95,540.95,539.85,540.83,34014,18380995.53
1718964000,540.83,541.81,540.75,541.75,31655,17134376.68
1718964900,541.75,542.70,541.68,542.62,15411,8355651.56
1718965800,542.62,543.54,542.50,543.49,17231,9357079.16
1718966700,543.49,544.36,543.40,544.28,39008,21215768.56
1718967600,544.28,545.28,544.17,545.16,18875,10281637.19
1718968500,545.16,546.04,545.08,546.00,22424,12233861.68
1718969400,546.00,546.93,545.94,546.85,36175,19767105.25
1718970300,546.85,547.77,546.73,547.66,22527,12327957.07
1718971200,547.66,548.78,547.59,548.67,30882,16928740.35
1718972100,548.67,549.53,548.59,549.42,12988,7131093.87
1718973000,549.42,550.46,549.39,550.35,14752,8112198.56
1718973900,550.35,551.32,550.25,551.24,16881,9297885.99
1718974800,551.24,552.09,551.15,552.05,35717,19702658.00
1718975700,552.05,552.98,552.02,552.93,11048,6103964.76
1718976600,552.93,553.90,552.83,553.82,23743,13138663.91
1718977500,553.82,554.68,553.71,554.61,22561,12503419.01
1718978400,554.61,555.62,554.58,555.56,15032,8344150.46
1718979300,555.56,556.46,555.46,556.43,34800,19348017.00
1718980200,556.43,557.34,556.40,557.25,32709,18214170.20
1718981100,557.25,558.18,557.15,558.09,16214,9042020.85
1718982000,558.09,559.16,558.01,559.04,33196,18542455.70
1718982900,559.04,559.89,558.96,559.84,22572,12627510.39
1718983800,559.84,560.77,559.75,560.73,8428,4721976.63
1718984700,560.73,561.73,560.62,561.62,10522,5904683.35
