time,open,high,low,close,volume,turnover
1718962200,540.00,540.14,539.90,540.03,35549,19197082.11
1718963100,540.03,540.61,539.96,540.56,13584,7339299.36
1718964000,540.56,541.01,540.47,540.97,39682,21458140.71
1718964900,540.97,541.50,540.85,541.45,25256,13668357.78
1718965800,541.45,542.03,541.35,541.99,29664,16069137.12
1718966700,541.99,542.54,541.96,542.46,20955,11362586.81
1718967600,542.46,543.09,542.40,542.97,27460,14903365.80
1718968500,542.97,543.45,542.88,543.38,23393,12706375.81
1718969400,543.38,543.98,543.28,543.90,24138,13122261.63
1718970300,543.90,544.45,543.82,544.37,35582,19361411.57
1718971200,544.37,544.91,544.29,544.83,8131,4428142.60
1718972100,544.83,545.42,544.74,545.39,22029,12007897.76
1718973000,545.39,545.96,545.31,545.84,21852,11922997.50
1718973900,545.84,546.34,545.76,546.31,22644,12365039.25
1718974800,546.31,546.86,546.19,546.76,31784,17370909.52
1718975700,546.76,547.37,546.64,547.26,27312,14939868.84
1718976600,547.26,547.89,547.14,547.77,25811,14131909.66
1718977500,547.77,548.30,547.74,548.25,18894,10354195.41
1718978400,548.25,548.75,548.20,548.68,34921,19153120.87
1718979300,548.68,549.41,548.56,549.31,8255,4531912.45
1718980200,549.31,549.80,549.27,549.75,16623,9134878.75
1718981100,549.75,550.28,549.71,550.17,22270,12247998.92
1718982000,550.17,550.71,550.11,550.63,31780,17491870.90
1718982900,550.63,551.28,550.56,551.19,17533,9659192.69
1718983800,551.19,551.75,551.15,551.65,15907,8771676.55
1718984700,551.65,552.22,551.57,552.17,32938,18178564.55
