time,open,high,low,close,volume,turnover
1718962200,531.36,531.48,531.23,531.32,19027,10109948.88
1718963100,531.32,531.60,531.21,531.54,11178,5940184.82
1718964000,531.54,531.91,531.44,531.85,12806,6808758.11
1718964900,531.85,532.02,531.76,531.95,30640,16297262.80
1718965800,531.95,532.14,531.91,532.08,39900,21227598.00
1718966700,532.08,532.44,532.05,532.40,9135,4862035.24
1718967600,532.40,532.70,532.35,532.63,26730,14234259.60
1718968500,532.63,532.95,532.57,532.90,8546,4552988.33
1718969400,532.90,533.19,532.85,533.09,29323,15629378.92
1718970300,533.09,533.22,533.00,533.15,24813,13228182.50
1718971200,533.15,533.57,533.05,533.52,18084,9644604.09
1718972100,533.52,533.79,533.43,533.75,37430,19973490.17
1718973000,533.75,534.08,533.66,534.01,12918,6896597.25
1718973900,534.01,534.16,533.89,534.10,20018,10690412.72
1718974800,534.10,534.37,533.98,534.34,11187,5976067.43
1718975700,534.34,534.60,534.25,534.52,26294,14052236.69
1718976600,534.52,534.92,534.48,534.89,29241,15635235.80
1718977500,534.89,535.08,534.81,534.98,39934,21362293.96
1718978400,534.98,535.22,534.87,535.17,27013,14453575.78
1718979300,535.17,535.48,535.11,535.36,28347,15173582.16
1718980200,535.36,535.75,535.29,535.67,26820,14362579.35
1718981100,535.67,535.92,535.55,535.88,37359,20015271.04
1718982000,535.88,536.11,535.83,536.06,17631,9449687.07
1718982900,536.06,536.26,535.98,536.17,9137,4898505.60
1718983800,536.17,536.56,536.08,536.50,19648,10537762.72
1718984700,536.50,536.75,536.44,536.65,31400,16848769.00
