time,open,high,low,close,volume,turnover
1718962200,546.48,546.59,546.42,546.49,33630,18378626.85
1718963100,546.49,546.53,546.35,546.43,21005,11478182.25
1718964000,546.43,546.52,546.21,546.26,12678,6926688.69
1718964900,546.26,546.33,546.11,546.17,12348,6744693.69
1718965800,546.17,546.23,546.01,546.05,26586,14519013.39
1718966700,546.05,546.14,545.83,545.93,18304,9993755.20
1718967600,545.93,546.00,545.86,545.90,27729,15137885.00
1718968500,545.90,545.93,545.64,545.73,29777,16252286.60
1718969400,545.73,545.84,545.51,545.58,30888,16854500.52
1718970300,545.58,545.61,545.40,545.51,14396,7853377.90
1718971200,545.51,545.58,545.24,545.35,36226,19758384.92
1718972100,545.35,545.42,545.16,545.27,30925,16863402.50
1718973000,545.27,545.31,545.16,545.21,39430,21498714.62
1718973900,545.21,545.26,544.97,545.05,27275,14868216.19
1718974800,545.05,545.17,544.88,544.95,37182,20264654.78
1718975700,544.95,545.06,544.78,544.85,12771,6959045.61
1718976600,544.85,544.93,544.66,544.69,38930,21208382.73
1718977500,544.69,544.77,544.48,544.58,38396,20911613.48
1718978400,544.58,544.69,544.49,544.56,21701,11817930.58
1718979300,544.56,544.64,544.38,544.43,31350,17070153.38
1718980200,544.43,544.55,544.22,544.32,12315,6704039.70
1718981100,544.32,544.37,544.13,544.21,25416,13832848.62
1718982000,544.21,544.33,544.03,544.07,23547,12813335.52
1718982900,544.07,544.16,543.87,543.97,26303,14309292.30
1718983800,543.97,544.05,543.75,543.78,20865,11348212.69
1718984700,543.78,543.85,543.55,543.67,35838,19485568.57
