time,open,high,low,close,volume,turnover
1718962200,540.00,540.10,539.89,539.94,9344,5045596.48
1718963100,539.94,540.05,538.89,538.92,13077,7054387.65
1718964000,538.92,538.96,537.77,537.80,33782,18186961.97
1718964900,537.80,537.87,536.59,536.69,10147,5451348.91
1718965800,536.69,536.80,535.59,535.66,12378,6636897.93
1718966700,535.66,535.75,534.51,534.59,9473,5069262.81
1718967600,534.59,534.66,533.37,533.47,20457,10924498.28
1718968500,533.47,533.52,532.39,532.50,22923,12217271.31
1718969400,532.50,532.59,531.29,531.32,33856,18008852.80
1718970300,531.32,531.37,530.20,530.26,15923,8451729.36
1718971200,530.26,530.33,529.18,529.22,21244,11253955.89
1718972100,529.22,529.31,528.03,528.09,9853,5208911.61
1718973000,528.09,528.16,527.00,527.08,24184,12759055.18
1718973900,527.08,529.02,527.02,528.97,39526,20870617.34
1718974800,528.97,530.89,528.88,530.78,33123,17551215.24
1718975700,530.78,532.70,530.71,532.65,28794,15310057.74
1718976600,532.65,534.51,532.54,534.45,32772,17485090.95
1718977500,534.45,536.19,534.33,536.16,26445,14155545.71
1718978400,536.16,538.19,536.07,538.10,39492,21212337.96
1718979300,538.10,540.01,538.06,539.91,28359,15286068.18
1718980200,539.91,541.86,539.81,541.82,15925,8613036.25
1718981100,541.82,543.56,541.78,543.52,14908,8090124.36
1718982000,543.52,545.58,543.43,545.49,17152,9339349.76
1718982900,545.49,547.31,545.38,547.25,39040,21329796.80
1718983800,547.25,549.22,547.19,549.14,16209,8885773.80
1718984700,549.14,551.06,549.09,551.01,32404,17824630.30
