time,open,high,low,close,volume,turnover
1718962200,540.00,540.10,539.92,539.98,37013,19987020.00
1718963100,539.98,540.06,539.88,539.97,32975,17805593.19
1718964000,539.97,540.05,539.89,539.98,28261,15260162.82
1718964900,539.98,540.04,539.91,539.98,20276,10948583.79
1718965800,539.98,540.12,539.89,540.03,20117,10863280.58
1718966700,540.03,540.10,539.93,540.04,18259,9860316.47
1718967600,540.04,540.14,539.89,539.99,39219,21178848.28
1718968500,539.99,540.08,539.90,540.02,21091,11389087.27
1718969400,540.02,540.11,539.89,539.99,9439,5097083.60
1718970300,539.99,540.13,539.96,540.02,11285,6094182.12
1718971200,540.02,540.12,539.99,540.02,16405,8859315.19
1718972100,540.02,540.06,539.94,539.99,33671,18182424.18
1718973000,539.99,540.09,539.94,540.00,15817,8541259.08
1718973900,540.00,540.08,539.88,540.00,23097,12472149.03
1718974800,540.00,540.09,539.96,540.03,27367,14778727.34
1718975700,540.03,540.06,539.93,539.97,34422,18587793.94
1718976600,539.97,540.07,539.88,539.97,11047,5965076.21
1718977500,539.97,540.07,539.86,540.02,15835,8550583.30
1718978400,540.02,540.07,539.90,540.01,18977,10247580.00
1718979300,540.01,540.11,539.90,540.05,39480,21319890.90
1718980200,540.05,540.13,539.94,540.00,15678,8466590.34
1718981100,540.00,540.08,539.88,539.99,10703,5779486.21
1718982000,539.99,542.22,539.96,542.16,12455,6739182.54
1718982900,542.16,544.40,542.11,544.32,31315,17011795.46
1718983800,544.32,546.54,544.20,546.48,36547,19932185.59
1718984700,546.48,548.72,546.40,548.64,31261,17117273.16
