time,open,high,low,close,volume,turnover
1718962200,540.00,540.08,539.83,539.94,18871,10189632.34
1718963100,539.94,540.58,539.86,540.50,30119,16270886.18
1718964000,540.50,541.10,540.40,541.00,11090,5996917.50
1718964900,541.00,541.58,540.90,541.48,33920,18358860.80
1718965800,541.48,542.03,541.41,541.91,36600,19826494.50
1718966700,541.91,542.59,541.86,542.49,39884,21625603.35
1718967600,542.49,543.09,542.43,542.98,38564,20930514.59
1718968500,542.98,543.48,542.90,543.39,16833,9143475.19
1718969400,543.39,543.91,543.29,543.88,21224,11537737.82
1718970300,543.88,544.42,543.79,544.34,21069,11463800.92
1718971200,544.34,544.98,544.30,544.94,25622,13954766.08
1718972100,544.94,545.52,544.89,545.42,32372,17648971.61
1718973000,545.42,545.85,545.32,545.81,22868,12476780.80
1718973900,545.81,546.40,545.75,546.34,21839,11925731.93
1718974800,546.34,546.97,546.25,546.87,22346,12214491.19
1718975700,546.87,547.34,546.75,547.27,13155,7196541.41
1718976600,547.27,547.80,547.17,547.77,14141,7742232.85
1718977500,547.77,548.31,547.67,548.26,19275,10562748.19
1718978400,548.26,548.80,548.17,548.69,17728,9723453.44
1718979300,548.69,549.32,548.57,549.25,9930,5451147.98
1718980200,549.25,549.75,549.14,549.67,29979,16472036.50
1718981100,549.67,550.32,549.56,550.25,27433,15086778.35
1718982000,550.25,550.76,550.20,550.68,24889,13700710.05
1718982900,550.68,551.36,550.61,551.26,15296,8427751.84
1718983800,551.26,551.78,551.17,551.67,20316,11203664.52
1718984700,551.67,552.26,551.57,552.17,14657,8089454.80
