time,open,high,low,close,volume,turnover
1718962200,540.00,540.08,539.96,540.01,36310,19607853.88
1718963100,540.01,540.07,539.90,539.97,31784,17162962.70
1718964000,539.97,540.05,539.89,540.01,11955,6455460.90
1718964900,540.01,540.10,539.93,540.01,20606,11127497.58
1718965800,540.01,540.06,539.88,539.99,18846,10176557.31
1718966700,539.99,540.05,539.89,540.00,35780,19320573.85
1718967600,540.00,540.07,539.95,540.01,36287,19595252.15
1718968500,540.01,540.11,539.93,540.00,26204,14150487.55
1718969400,540.00,540.09,539.89,539.97,10844,5855624.45
1718970300,539.97,540.12,539.88,540.01,8830,4768155.85
1718971200,540.01,540.12,539.93,539.99,14881,8035926.01
1718972100,539.99,540.12,539.95,540.02,33864,18287237.28
1718973000,540.02,540.13,539.96,540.01,10334,5580670.02
1718973900,540.01,540.11,539.90,539.98,31412,16962480.00
1718974800,539.98,540.04,539.90,539.98,10878,5873848.05
1718975700,539.98,540.09,539.90,539.98,37953,20494145.59
1718976600,539.98,540.08,539.86,540.03,26163,14127692.96
1718977500,540.03,540.09,539.90,539.99,34012,18366565.03
1718978400,539.99,540.04,539.93,539.98,26645,14387900.33
1718979300,539.98,540.08,539.95,540.02,32104,17336400.78
1718980200,540.02,540.06,539.92,540.00,11091,5989140.00
1718981100,540.00,540.09,539.93,540.00,21741,11740248.71
1718982000,540.00,540.09,539.90,540.00,32570,17587718.58
1718982900,540.00,540.08,539.93,539.99,21998,11878920.00
1718983800,539.99,540.08,539.89,539.99,30273,16347041.59
1718984700,539.99,540.12,539.95,540.06,18577,10032137.31
