time,open,high,low,close,volume,turnover
1718962200,540.00,540.09,539.93,540.00,25078,13542245.39
1718963100,540.00,540.87,539.88,540.79,26362,14245629.37
1718964000,540.79,541.05,540.69,540.98,39604,21420912.51
1718964900,540.98,541.03,540.35,540.43,38991,21082336.22
1718965800,540.43,540.54,539.40,539.51,38640,20864440.80
1718966700,539.51,539.56,538.92,538.99,10575,5702515.87
1718967600,538.99,539.35,538.90,539.30,28952,15609036.52
1718968500,539.30,540.09,539.26,540.03,21763,11744838.21
1718969400,540.03,540.90,539.98,540.80,35573,19224627.46
1718970300,540.80,541.04,540.75,540.99,9697,5245058.81
1718971200,540.99,541.11,540.34,540.40,13729,7423407.59
1718972100,540.40,540.50,539.49,539.54,17794,9608448.61
1718973000,539.54,539.63,538.92,539.04,11963,6451436.55
1718973900,539.04,539.28,538.93,539.24,16538,8916007.90
1718974800,539.24,540.13,539.14,540.02,26028,14045554.71
1718975700,540.02,540.90,539.99,540.79,22669,12250894.32
1718976600,540.79,541.04,540.68,540.97,39538,21384918.06
1718977500,540.97,541.05,540.34,540.40,22062,11928702.78
1718978400,540.40,540.47,539.48,539.52,11427,6170208.62
1718979300,539.52,539.57,538.93,538.97,25822,13924448.94
1718980200,538.97,539.38,538.86,539.27,33456,18036798.72
1718981100,539.27,540.15,539.20,540.07,16233,8760503.69
1718982000,540.07,540.85,539.98,540.81,28036,15151425.39
1718982900,540.81,540.98,540.72,540.93,32306,17473023.16
1718983800,540.93,541.03,540.24,540.35,10006,5409618.83
1718984700,540.35,540.38,539.47,539.53,29077,15699617.30
