time,open,high,low,close,volume,turnover
1718962200,540.00,540.11,539.87,539.99,25582,13814088.14
1718963100,539.99,540.06,539.08,539.14,19259,10391530.48
1718964000,539.14,539.25,538.22,538.26,37311,20100088.64
1718964900,538.26,538.30,537.40,537.48,15822,8510020.92
1718965800,537.48,537.56,536.41,536.49,24668,13246345.98
1718966700,536.49,536.53,535.64,535.68,9857,5284189.84
1718967600,535.68,535.79,534.70,534.80,33082,17706892.38
1718968500,534.80,534.90,533.88,533.94,39454,21083428.52
1718969400,533.94,534.05,533.03,533.15,33694,17977181.00
1718970300,533.15,533.22,532.13,532.19,33573,17883413.84
1718971200,532.19,532.30,531.33,531.39,16524,8787504.51
1718972100,531.39,531.43,530.44,530.50,37616,19971839.04
1718973000,530.50,530.62,529.63,529.71,36577,19390016.36
1718973900,529.71,529.83,528.79,528.82,18997,10054874.64
1718974800,528.82,528.86,527.66,527.75,18134,9579693.52
1718975700,527.75,527.84,526.94,527.02,15285,8061117.94
1718976600,527.02,527.08,526.03,526.10,9118,4801151.29
1718977500,526.10,526.21,525.21,525.32,25251,13274703.21
1718978400,525.32,525.37,524.32,524.44,10171,5338376.49
1718979300,524.44,524.53,523.49,523.57,39828,20870170.71
1718980200,523.57,523.67,522.72,522.76,33274,17408291.32
1718981100,522.76,522.79,521.72,521.79,23284,12160418.26
1718982000,521.79,521.84,520.93,520.98,31566,16458038.91
1718982900,520.98,521.08,519.98,520.08,31544,16419598.32
1718983800,520.08,520.12,519.20,519.27,10634,5526144.20
1718984700,519.27,519.34,518.25,518.31,27972,14511663.81
