time,open,high,low,close,volume,turnover
1718962200,540.00,540.06,539.89,540.01,30983,16730510.17
1718963100,540.01,540.95,539.96,540.83,11644,6292854.25
1718964000,540.83,541.80,540.77,541.73,9897,5357072.90
1718964900,541.73,542.57,541.63,542.52,31821,17250561.86
1718965800,542.52,543.44,542.45,543.40,14571,7911360.88
1718966700,543.40,544.35,543.35,544.30,21813,11863000.05
1718967600,544.30,545.21,544.24,545.12,19109,10409006.71
1718968500,545.12,546.22,545.06,546.12,23541,12844675.83
1718969400,546.12,546.99,546.01,546.94,30154,16479613.31
1718970300,546.94,547.75,546.84,547.71,9028,4941114.68
1718971200,547.71,548.69,547.66,548.63,21811,11956190.40
1718972100,548.63,549.56,548.53,549.49,36926,20274312.62
1718973000,549.49,550.49,549.44,550.41,37577,20665752.98
1718973900,550.41,551.34,550.36,551.25,35646,19635242.64
1718974800,551.25,552.16,551.16,552.08,27257,15036664.76
1718975700,552.08,553.01,551.98,552.94,30366,16777290.92
1718976600,552.94,553.83,552.89,553.79,34514,19098753.32
1718977500,553.79,554.73,553.74,554.69,27010,14969954.87
1718978400,554.69,555.72,554.59,555.62,30389,16870605.29
1718979300,555.62,556.44,555.54,556.35,24045,13368719.44
1718980200,556.35,557.24,556.24,557.18,25641,14275690.85
1718981100,557.18,558.22,557.11,558.15,24652,13747557.58
1718982000,558.15,559.09,558.07,559.01,17501,9775708.58
1718982900,559.01,559.89,558.95,559.82,10733,6004228.03
1718983800,559.82,560.87,559.76,560.75,25794,14452378.20
1718984700,560.75,561.56,560.71,561.52,20631,11576776.19
