time,open,high,low,close,volume,turnover
1718962200,540.00,540.14,539.94,540.10,24666,13320749.97
1718963100,540.10,541.13,540.07,541.07,35105,18977499.71
1718964000,541.07,542.17,541.00,542.12,34578,18727099.02
1718964900,542.12,543.24,542.01,543.14,8869,4812563.30
1718965800,543.14,544.36,543.07,544.25,22569,12270878.15
1718966700,544.25,545.44,544.13,545.34,19573,10663174.67
1718967600,545.34,546.57,545.29,546.46,29722,16225685.63
1718968500,546.46,547.64,546.37,547.54,37802,20677788.50
1718969400,547.54,548.63,547.46,548.60,26235,14378288.51
1718970300,548.60,549.88,548.56,549.80,28195,15484975.95
1718971200,549.80,550.86,549.70,550.76,23419,12887007.32
1718972100,550.76,551.94,550.68,551.91,32094,17694144.32
1718973000,551.91,552.99,551.82,552.88,26258,14504919.20
1718973900,552.88,552.97,550.97,551.05,21972,12127829.91
1718974800,551.05,551.09,549.06,549.11,13754,7565765.93
1718975700,549.11,549.19,547.17,547.20,35017,19195181.35
1718976600,547.20,547.24,545.12,545.20,24208,13222167.52
1718977500,545.20,545.30,543.22,543.29,30850,16790189.62
1718978400,543.29,543.38,541.30,541.35,8984,4872292.72
1718979300,541.35,541.40,539.34,539.41,15797,8536303.88
1718980200,539.41,539.49,537.45,537.54,37145,20001561.01
1718981100,537.54,537.57,535.44,535.50,30888,16571798.10
1718982000,535.50,535.56,533.55,533.58,34813,18609202.12
1718982900,533.58,533.68,531.57,531.64,23502,12517576.48
1718983800,531.64,531.70,529.69,529.75,36262,19244062.09
1718984700,529.75,529.79,527.69,527.75,37296,19720073.52
