time,open,high,low,close,volume,turnover
1718962200,540.00,540.17,539.93,540.09,16826,9086839.23
1718963100,540.09,540.15,538.98,539.03,34548,18640805.25
1718964000,539.03,539.10,537.77,537.84,35918,19339508.33
1718964900,537.84,537.92,536.77,536.89,35300,18968631.50
1718965800,536.89,536.96,535.61,535.71,23653,12684926.50
1718966700,535.71,535.79,534.59,534.63,24761,13251591.98
1718967600,534.63,534.71,533.42,533.52,17964,9594033.48
1718968500,533.52,533.63,532.29,532.38,23925,12750948.38
1718969400,532.38,532.45,531.32,531.36,30155,16038766.01
1718970300,531.36,531.45,530.23,530.30,17360,9215295.60
1718971200,530.30,530.40,529.11,529.22,18905,10015065.54
1718972100,529.22,529.32,528.04,528.12,11124,5880980.70
1718973000,528.12,528.20,527.01,527.05,11485,6059428.58
1718973900,527.05,528.97,527.01,528.85,8239,4349944.83
1718974800,528.85,530.69,528.76,530.63,31432,16650551.94
1718975700,530.63,532.64,530.54,532.60,27232,14476599.28
1718976600,532.60,534.53,532.54,534.44,13948,7441641.57
1718977500,534.44,536.40,534.33,536.35,15245,8161868.10
1718978400,536.35,538.11,536.24,538.04,30535,16402943.97
1718979300,538.04,540.02,537.95,539.93,22056,11887853.16
1718980200,539.93,541.80,539.84,541.77,36808,19907054.68
1718981100,541.77,543.67,541.67,543.59,26777,14531208.48
1718982000,543.59,545.66,543.53,545.55,13999,7623610.42
1718982900,545.55,547.39,545.47,547.34,11935,6521731.56
1718983800,547.34,549.26,547.29,549.16,8664,4750146.30
1718984700,549.16,551.14,549.04,551.06,38251,21041875.10
