time,open,high,low,close,volume,turnover
1718962200,540.00,540.07,539.96,540.01,28962,15639769.62
1718963100,540.01,540.59,539.91,540.50,21228,11468480.07
1718964000,540.50,540.94,540.46,540.88,19874,10745772.43
1718964900,540.88,541.52,540.80,541.42,8196,4435306.38
1718965800,541.42,542.10,541.32,542.00,11908,6450682.68
1718966700,542.00,542.43,541.89,542.39,15888,8614116.12
1718967600,542.39,542.92,542.34,542.89,11847,6428596.84
1718968500,542.89,543.48,542.83,543.38,37090,20145248.05
1718969400,543.38,543.94,543.31,543.83,13361,7263240.01
1718970300,543.83,544.55,543.72,544.44,19088,10386448.88
1718971200,544.44,544.97,544.38,544.92,14321,7800326.48
1718972100,544.92,545.33,544.84,545.30,10289,5608508.18
1718973000,545.30,545.93,545.25,545.88,28369,15477842.71
1718973900,545.88,546.42,545.83,546.35,24276,13257609.12
1718974800,546.35,546.84,546.30,546.79,25449,13909659.93
1718975700,546.79,547.35,546.67,547.28,24756,13542089.01
1718976600,547.28,547.82,547.18,547.78,19094,10454251.41
1718977500,547.78,548.23,547.71,548.18,32487,17802063.82
1718978400,548.18,548.74,548.07,548.71,14222,7799700.35
1718979300,548.71,549.34,548.63,549.26,15371,8438448.44
1718980200,549.26,549.82,549.20,549.76,14470,7951409.70
1718981100,549.76,550.26,549.70,550.16,19598,10778312.06
1718982000,550.16,550.67,550.06,550.64,39211,21581048.21
1718982900,550.64,551.22,550.55,551.16,38124,21002225.67
1718983800,551.16,551.77,551.09,551.65,38116,21017829.43
1718984700,551.65,552.23,551.59,552.17,34943,19285391.13
